id,login,name,salary,startDate
e0001,hpotter,Harry Potter,1234,13/11/2001
e0002,rwesley,Ron Weasley,19234.505,14/11/2001
e0003,ssnape,Severus Snape,4000,15/11/2001
e0004,rhagrid,Rubeus Hagrid,3999.999,16/11/2001
e0005,voldemort,Lord Voldemort,523.4,17/11/2001
e0006,gwesley,Ginny Weasley,4000.004,18/11/2001
e0006,gwesley,Ginny Weasley,4000.004,19/11/2001
e0007,hgranger,Hermione Granger,0.1,20/11/2001
e0008,hgranger,Albus Dumbledore,s,21/11/2001
e0009,hgranger,Albus Dumbledore,,22/11/2001
e0009,hgranger,Albus Dumbledore,s,e
e0009,hgranger,Albus Dumbledore,s,16-Nov-0111
